flight,date,route,commanded_speed_mps,payload_g,cruise_altitude_m,duration_s,energy_wh_abs_vi,mean_power_w_abs_vi,central_segment_power_w,mean_wind_mps,p95_wind_mps
240,2019-07-24,R1,6.0,500.0,75.0,200.8,25.705857713077464,460.8619908719067,559.2257382924944,5.514499252954406,12.815000104904186
241,2019-08-05,R1,10.0,0.0,75.0,172.7,18.68015736035074,389.39528950354764,481.44303707785707,4.747569444718668,13.199999809265135
242,2019-08-05,R1,8.0,500.0,100.0,264.61,26.080103422012375,354.8179294782682,448.5981362649052,4.2867422146263605,12.399999618530273
243,2019-08-05,R1,4.0,500.0,25.0,242.7,25.016836097864363,371.0779149250585,498.65960074312045,3.3444718987927753,7.800000190734862
246,2019-08-05,R1,8.0,0.0,100.0,204.4,21.9656084048445,386.86981534951167,482.5699051162069,4.592386533867562,11.199999809265137
247,2019-08-05,R1,8.0,0.0,75.0,187.6,19.60706603116198,376.254998465795,468.0610882826969,4.2110040135472175,10.699999809265137
248,2019-08-05,R1,4.0,250.0,75.0,238.69,27.885476271289885,420.57779788279186,495.979667409606,4.090583807541489,9.0
249,2019-08-05,R1,8.0,0.0,50.0,165.4,16.48364583958624,358.77342818930146,451.7434488255233,4.242973704171365,10.699999809265137
250,2019-08-05,R1,10.0,250.0,100.0,165.2,21.758777205320705,474.16221512805413,523.2442080012506,5.34604904864941,13.600000381469727
251,2019-08-05,R1,8.0,250.0,50.0,176.5,18.450443217377867,376.3263205810783,522.356397665046,4.651062013288626,12.0
252,2019-08-05,R1,12.0,500.0,75.0,193.01,21.313162890230316,397.5306274536508,582.6290286938864,3.9577760523413983,13.874999761581421
253,2019-08-05,R1,10.0,500.0,25.0,153.1,15.926602418577232,374.49881585158744,558.6012325428738,4.2984329112946815,12.199999809265135
254,2019-08-05,R1,10.0,500.0,50.0,165.39,19.057660237497604,414.82300535093646,561.1323875535553,4.165185859843967,12.0
255,2019-08-05,R1,6.0,500.0,25.0,165.21,19.79454510705663,431.3320161334294,553.6433011766447,3.8541742383879347,7.900000095367432
256,2019-08-05,R1,10.0,250.0,75.0,172.4,20.14263627344066,420.6118943409883,518.4646293101857,4.153565226637799,11.899999618530273
257,2019-08-05,R1,6.0,250.0,75.0,210.0,23.96637084884374,410.85207169446414,507.0055398942906,3.672234131583012,9.0
258,2019-08-05,R1,4.0,250.0,50.0,219.3,25.95772028475664,426.118527246347,513.807217433873,3.2755130035178444,5.9000000953674325
260,2019-08-05,R1,4.0,0.0,75.0,244.71,26.05665332480463,383.32700735277126,469.7169734795519,3.0797181299650203,6.300000190734862
261,2019-08-05,R1,6.0,250.0,50.0,192.9,21.20846621731481,395.80341307585957,511.33074308998505,3.591841492509555,8.399999618530272
262,2019-08-05,R1,10.0,0.0,75.0,172.51,18.649313809514272,389.18050961829096,472.44988412260835,3.8117493486552263,11.300000190734865
263,2019-08-05,R1,4.0,0.0,75.0,238.4,25.442952280569845,384.20565524350434,455.87915491903215,3.1540880645596006,5.800000190734862
264,2019-08-05,R1,6.0,250.0,100.0,227.1,24.942085528661895,395.3831259497262,498.31939256917434,3.4395379462651294,8.800000190734863
267,2019-09-19,R1,8.0,500.0,25.0,152.61,16.726085188492466,394.56068854316806,531.8524915288464,5.058374639899572,10.0
268,2019-09-19,R6,6.0,500.0,25.0,232.51,28.730816471797713,444.84512192366685,540.5041528190126,5.459894103020884,10.100000381469727
269,2019-09-19,R6,12.0,500.0,25.0,201.51,20.036176802055916,357.94866997866757,498.74222414756247,5.548139713608413,14.0
270,2019-09-19,R6,10.0,250.0,75.0,221.4,24.099960851528852,391.86928213868055,477.6670783380894,5.629331519692567,13.0
